Transaction_ID,Date,Customer_Name,Customer_ID,Product,Customer_Category,Season,Basket_Size,Product_Category,Category,Sub_Category,Payment_Method,City,Store_Type,Discount_Applied,Promotion,Unit_Price,Cost_Per_Item,Profit,Total_Items,Total_Cost,Total_Sales,Profit_Margin_Sales,Profit_Margin_Cost,is_slow_moving,is_overstocked
1000000000,21-01-2022 06:27,Stacey Price,118350,"['Ketchup', 'Shaving Cream', 'Light Bulbs']",Homemaker,Winter,3,Ketchup,Condiments,Ketchup,Mobile Payment,Los Angeles,Warehouse Club,True,,23.88,12.24,34.94,3,36.72,71.64,48.7716359575656,95.1525054466231,False,False
1000000001,01-03-2023 13:01,Michelle Carlson,322706,"['Ice Cream', 'Milk', 'Olive Oil', 'Bread', 'Potatoes']",Professional,Fall,5,Ice Cream,Dairy,Ice Cream,Cash,San Francisco,Specialty Store,True,BOGO (Buy One Get One),12.97,8.88,8.16,2,17.76,25.94,31.45720894371627,45.945945945945944,True,False
1000000003,31-10-2020 09:59,Mrs. Patricia May,549441,"['Tissues', 'Mustard']",Homemaker,Spring,2,Tissues,Cleaning Supplies,Tissues,Mobile Payment,Chicago,Pharmacy,True,,39.34,22.8,16.54,1,22.8,39.34,42.043721403152,72.5438596491228,True,False
1000000004,10-12-2020 00:59,Susan Mitchell,711317,['Dish Soap'],Young Adult,Winter,1,Dish Soap,Cleaning Supplies,Dish Soap,Debit Card,Houston,Specialty Store,False,Discount on Selected Items,1.64,0.73,9.08,10,7.3,16.4,55.365853658536594,124.38356164383562,False,False
1000000005,07-10-2021 12:37,Joshua Frazier,386009,"['Toothpaste', 'Chicken']",Retiree,Spring,2,Toothpaste,Personal Care,Toothpaste,Cash,Houston,Supermarket,True,Discount on Selected Items,24.08,10.76,39.96,3,32.28,72.24,55.3156146179402,123.79182156133828,False,False
1000000006,08-01-2023 10:40,Victoria Garrett,111095,"['Honey', 'BBQ Sauce', 'Soda', 'Olive Oil', 'Garden Hose']",Student,Summer,5,Honey,Pantry & Snacks,Honey,Cash,Boston,Specialty Store,False,Discount on Selected Items,1.32,0.55,3.08,4,2.2,5.28,58.333333333333336,140.0,False,False
1000000007,03-09-2020 12:39,Sydney Waller,820318,"['Syrup', 'Trash Cans', 'Pancake Mix', 'Water', 'Mayonnaise']",Young Adult,Winter,5,Syrup,Pantry & Snacks,Syrup,Debit Card,Chicago,Specialty Store,False,Discount on Selected Items,4.35,2.87,7.41,5,14.350000000000001,21.75,34.06896551724138,51.637630662020904,False,False
1000000008,05-04-2021 06:32,Kimberly Morgan,838676,['Insect Repellent'],Homemaker,Fall,1,Insect Repellent,Other,Insect Repellent,Mobile Payment,Los Angeles,Warehouse Club,False,,13.81,8.02,23.19,4,32.08,55.24,41.980448950036205,72.28802992518703,False,False
1000000009,08-07-2021 10:08,Lori Conway,919866,"['Soap', 'Baby Wipes', 'Soda']",Young Adult,Winter,3,Soap,Personal Care,Soap,Mobile Payment,Boston,Convenience Store,True,,4.46,2.73,12.1,7,19.11,31.22,38.7572069186419,63.317634746206174,False,False
1000000010,18-03-2020 18:58,Randall Roberts,692566,"['Extension Cords', 'Soda', 'Water', 'Garden Hose', 'Cleaning Spray']",Middle-Aged,Fall,5,Extension Cords,Household Electronics,Extension Cords,Debit Card,Boston,Department Store,True,BOGO (Buy One Get One),11.45,4.65,54.39,8,37.2,91.6,59.37772925764192,146.20967741935482,False,False
1000000011,30-03-2023 19:26,Jeremiah White,38005,"['Tea', 'Paper Towels', 'Spinach']",Young Adult,Fall,3,Tea,Beverages,Tea,Mobile Payment,New York,Specialty Store,False,Discount on Selected Items,4.55,3.15,9.85,7,22.05,31.849999999999998,30.926216640502357,44.67120181405895,False,False
1000000012,27-05-2023 15:52,Sheila Mcgee,245232,"['Salmon', 'Shaving Cream']",Student,Summer,2,Salmon,Meat & Seafood,Salmon,Debit Card,New York,Pharmacy,False,Discount on Selected Items,4.42,2.87,13.92,9,25.830000000000002,39.78,34.99245852187028,53.89082462253194,False,True
