Transaction_ID,Date,Customer_Name,Customer_ID,Product,Customer_Category,Season,Basket_Size,Product_Category,Category,Sub_Category,Payment_Method,City,Store_Type,Discount_Applied,Promotion,Unit_Price,Cost_Per_Item,Profit,Total_Items
1000000000,21-01-2022 06:27,Stacey Price,118350,"['Ketchup', 'Shaving Cream', 'Light Bulbs']",Homemaker,Winter,3,Ketchup,Condiments,Ketchup,Mobile Payment,Los Angeles,Warehouse Club,TRUE,None,23.88,12.24,34.94,3
1000000001,01-03-2023 13:01,Michelle Carlson,322706,"['Ice Cream', 'Milk', 'Olive Oil', 'Bread', 'Potatoes']",Professional,Fall,5,Ice Cream,Dairy,Ice Cream,Cash,San Francisco,Specialty Store,TRUE,BOGO (Buy One Get One),12.97,8.88,8.16,2
1000000003,31-10-2020 09:59,Mrs. Patricia May,549441,"['Tissues', 'Mustard']",Homemaker,Spring,2,Tissues,Cleaning Supplies,Tissues,Mobile Payment,Chicago,Pharmacy,TRUE,None,39.34,22.8,16.54,1
1000000004,10-12-2020 00:59,Susan Mitchell,711317,['Dish Soap'],Young Adult,Winter,1,Dish Soap,Cleaning Supplies,Dish Soap,Debit Card,Houston,Specialty Store,FALSE,Discount on Selected Items,1.64,0.73,9.08,10
1000000005,07-10-2021 12:37,Joshua Frazier,386009,"['Toothpaste', 'Chicken']",Retiree,Spring,2,Toothpaste,Personal Care,Toothpaste,Cash,Houston,Supermarket,TRUE,Discount on Selected Items,24.08,10.76,39.96,3
1000000006,08-01-2023 10:40,Victoria Garrett,111095,"['Honey', 'BBQ Sauce', 'Soda', 'Olive Oil', 'Garden Hose']",Student,Summer,5,Honey,Pantry & Snacks,Honey,Cash,Boston,Specialty Store,FALSE,Discount on Selected Items,1.32,0.55,3.08,4
1000000007,03-09-2020 12:39,Sydney Waller,820318,"['Syrup', 'Trash Cans', 'Pancake Mix', 'Water', 'Mayonnaise']",Young Adult,Winter,5,Syrup,Pantry & Snacks,Syrup,Debit Card,Chicago,Specialty Store,FALSE,Discount on Selected Items,4.35,2.87,7.41,5
1000000008,05-04-2021 06:32,Kimberly Morgan,838676,['Insect Repellent'],Homemaker,Fall,1,Insect Repellent,Other,Insect Repellent,Mobile Payment,Los Angeles,Warehouse Club,FALSE,None,13.81,8.02,23.19,4
1000000009,08-07-2021 10:08,Lori Conway,919866,"['Soap', 'Baby Wipes', 'Soda']",Young Adult,Winter,3,Soap,Personal Care,Soap,Mobile Payment,Boston,Convenience Store,TRUE,None,4.46,2.73,12.1,7
1000000010,18-03-2020 18:58,Randall Roberts,692566,"['Extension Cords', 'Soda', 'Water', 'Garden Hose', 'Cleaning Spray']",Middle-Aged,Fall,5,Extension Cords,Household Electronics,Extension Cords,Debit Card,Boston,Department Store,TRUE,BOGO (Buy One Get One),11.45,4.65,54.39,8
